aggregation_method,layer,global_mean,global_var,median_nonzero_mean,median_nonzero_var,nonzero_frac,max_mean,max_var,num_nonzero_features,total_features
topk_mean,27,43.1217155456543,26481.505859375,15.037284851074219,5536.5986328125,0.49249267578125,8338.427734375,5636955.0,8069,16384
topk_mean,28,46.01508331298828,30431.00390625,16.219263076782227,6468.30517578125,0.49066162109375,8755.986328125,7903088.5,8039,16384
topk_mean,29,47.900352478027344,33626.5234375,16.636564254760742,6940.55078125,0.50054931640625,8316.5078125,5417939.0,8201,16384
topk_mean,30,50.440399169921875,36298.2734375,17.5494327545166,7535.3212890625,0.5028076171875,9300.9111328125,7134054.0,8238,16384
topk_mean,31,50.841270446777344,35934.671875,18.922792434692383,8484.0458984375,0.49517822265625,9223.6640625,9006552.0,8113,16384
topk_mean,32,52.882545471191406,38450.546875,19.125816345214844,8595.3828125,0.49365234375,7344.8720703125,8586011.0,8088,16384
topk_mean,33,55.76527404785156,40459.9453125,18.020456314086914,8083.1572265625,0.4752197265625,10274.927734375,14524415.0,7786,16384
max,0,6.2781500816345215,594.1299438476562,2.505601644515991,281.3200378417969,0.45965576171875,1926.2652587890625,431233.5625,7531,16384
max,1,6.448052883148193,605.4044189453125,2.6136136054992676,292.2392578125,0.47052001953125,1282.778564453125,235787.6875,7709,16384
max,2,7.181750297546387,648.7383422851562,2.9065496921539307,345.476318359375,0.46356201171875,773.9363403320312,86360.109375,7595,16384
max,3,7.779288291931152,721.17041015625,3.0516109466552734,365.3563232421875,0.48956298828125,824.67529296875,109721.8203125,8021,16384
max,4,9.159124374389648,980.6515502929688,3.81699800491333,535.0497436523438,0.43414306640625,755.3019409179688,217012.015625,7113,16384
max,5,8.791529655456543,1131.7337646484375,4.211613655090332,640.821044921875,0.4061279296875,975.1292114257812,143730.890625,6654,16384
max,6,9.171399116516113,1212.8636474609375,4.517360210418701,674.6925659179688,0.42645263671875,691.6317749023438,131802.1875,6987,16384
max,7,11.326757431030273,1665.42822265625,5.442296981811523,934.7296142578125,0.40234375,1039.3370361328125,393803.90625,6592,16384
max,8,13.655226707458496,1993.7919921875,6.471390247344971,1106.235595703125,0.40472412109375,1310.6783447265625,342997.875,6631,16384
max,9,14.550569534301758,2286.219482421875,6.943139553070068,1194.537841796875,0.40692138671875,1399.2301025390625,838471.4375,6667,16384
max,10,15.801661491394043,2561.328369140625,8.629505157470703,1585.947021484375,0.36639404296875,1935.689208984375,627489.5,6003,16384
max,11,17.884605407714844,3030.618896484375,10.429221153259277,1955.1365966796875,0.33892822265625,2355.811279296875,900308.8125,5553,16384
max,12,18.39984703063965,2917.39501953125,9.385446548461914,1678.8636474609375,0.35015869140625,2239.13916015625,838380.625,5737,16384
max,13,20.450393676757812,3370.822021484375,8.834515571594238,1518.27587890625,0.3619384765625,2254.573486328125,1365754.75,5930,16384
max,14,20.713924407958984,3171.535400390625,8.183375358581543,1410.4510498046875,0.40728759765625,2144.4423828125,972317.75,6673,16384
max,15,24.276914596557617,3860.83642578125,9.357331275939941,1835.42919921875,0.43402099609375,2399.67822265625,589139.8125,7111,16384
max,16,28.386077880859375,5214.14990234375,14.177668571472168,3595.86767578125,0.38720703125,3229.108642578125,1466154.25,6344,16384
max,17,37.20662307739258,9146.009765625,20.642539978027344,6384.96240234375,0.36181640625,4996.2783203125,2511930.75,5928,16384
max,18,43.87809371948242,12902.65234375,25.77326774597168,8858.6728515625,0.391845703125,4767.84423828125,2595780.5,6420,16384
max,19,55.31291198730469,20370.65234375,30.187402725219727,12310.025390625,0.41400146484375,5981.92333984375,5006826.5,6783,16384
max,20,64.59941864013672,29916.84765625,37.574337005615234,19270.525390625,0.43353271484375,6748.07373046875,10943780.0,7103,16384
max,21,76.49722290039062,38498.6328125,41.397438049316406,25251.462890625,0.46881103515625,7041.16357421875,5701400.5,7681,16384
max,22,88.77462768554688,54349.96875,46.621498107910156,36337.3671875,0.4884033203125,8570.4365234375,7098032.0,8002,16384
max,23,103.01129150390625,70767.765625,49.84904098510742,46676.703125,0.5037841796875,14207.0224609375,11987689.0,8254,16384
max,24,112.0145492553711,88815.40625,53.03458786010742,60051.765625,0.4979248046875,13064.1787109375,16500605.0,8158,16384
max,25,125.4281005859375,111265.4609375,60.129207611083984,77047.734375,0.50244140625,16340.962890625,19136452.0,8232,16384
